"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic 159	('data'", 'metadata', 'irbas', 'database', 'citizen', 'format', 'num', 'gbif', 'sharing'," 'organizations')	(0.022267557641203615", 0.020257239490191332,0.014288502, 0.012922275161360004, 0.012065663206498206, 0.011082211318087148,0.008797091,0.008504685,0.007826949, 0.007531145511950457)
"Topic 160	('dormancy'", 'seed', 'seeds', 'germination', 'size', 'venable', 'opt', 'prm', 'adults'," 'bank')	(0.0447583643334724", 0.042947492819000704,0.019409153, 0.018863014237136332,0.007319037,0.007303985,0.007118998,0.007059027,0.006847383, 0.006789634939060305)
"Topic 161	('q7'", 'bm', 'vhq', 'bb', 'iq', '2m2ib', 'i2', '7q', 'hmbi2'," 'ibqm')	(0.12981338233883274",0.072393354,0.069302272,0.069183046,0.062476569,0.058166905,0.055433102, 0.054408327762789324, 0.053750862384012936, 0.05076716401527262)
"Topic 162	('isotopic'", 'd15n', 'isotope', '15n', 'stable', 'isotopes', 'd13c', '13c', 'diet'," 'nirs')	(0.017224527236089464", 0.015141479059617087, 0.014657796673725923, 0.013209423800414321,0.011346224, 0.011298010404572099, 0.010790539154875437,0.010257007,0.00923342, 0.008684252994132332)
"Topic 163	('hay'", 'restoration', 'grazing', 'translocation', 'mowing', 'reference', 'transfer', 'treatments', 'soil'," 'vegetation')	(0.02269453285412848", 0.022044066867105642, 0.020831348267580718,0.018348508, 0.018148225440859624, 0.017667360800927946, 0.013781827886164466,0.011482317,0.011071189, 0.010398978798946877)
"Topic 164	('gypsy'", 'manuscrit', 'auteur', 'allee', 'moth', 'liebhold', 'author', 'mating', 'manuscript'," 'robinet')	(0.04160652679078325", 0.040613294366288764,0.040380836,0.040306354,0.034383673, 0.027253638423055237, 0.027245246485613283, 0.025792400542990142, 0.024287352082836593, 0.0233508107845133)
"Topic 165	('sapiens'", 'homo', 'societies', 'sociocultural', 'huntergatherer', 'omnivores', 'human', 'roles', 'ellis'," 'ecological')	(0.04019735177388132", 0.016090538739501652, 0.013686247639932104, 0.013573165777444302, 0.013431780192633594,0.009567347,0.00945331,0.008408298,0.008332346, 0.007988312640212438)
"Topic 166	('bears'", 'offspring', 'polar', 'independence', 'mother', 'cub', 'cubs', 'bear', '146'," 'departure')	(0.031182366894485898",0.02926344, 0.026449464640504683, 0.020002626935101433, 0.019620551735199734, 0.018697022504425665, 0.016820695326564845, 0.016025306229521596, 0.015435520096437332, 0.015375889517059187)
"Topic 167	('phytoplankton'", 'ast', 'plankton', 'cha', 'mar', 'intragroup', 'coexistence', 'diatoms', 'eects'," 'phytoplanktonic')	(0.020807593525354787",0.013480847, 0.011554297462023848, 0.010770016401552654,0.009867766,0.009307158,0.009132569,0.009062246,0.008985847, 0.008461017693513108)
"Topic 168	('fatty'", 'moerchi', 'lipid', 'arctica', 'truncata', 'discors', 'bridier', 'arctic', 'acid'," 'sejr')	(0.03166986067184469",0.031606608,0.027403742,0.02575994, 0.019728499090227294, 0.017065572111584888,0.016583743,0.01547206, 0.014908333700033149, 0.014149249148406748)
"Topic 169	('selection'", 'maturity', 'sdl', 'line', 'variance', 'heritability', 'lines', 'genetic', 'eects'," 'response')	(0.015113855242381695", 0.014331791735606569, 0.014284888724312838, 0.013742577757157056, 0.010616084980070878, 0.010052286704464966,0.00983453,0.008934588,0.008541994, 0.00813107164905289)
"Topic 170	('consumer'", 'stoichiometric', 'resource', 'srm', 'rm', 'nutrient', 'fluctuation', 'assimilation', 'fluctuations'," 'supply')	(0.03353421675120533", 0.024648961202575714, 0.022536890860396223, 0.021416142127235065, 0.020185117793321626, 0.016700535566985454,0.014715079,0.013094519, 0.012484265836978727, 0.011438768297646671)
"Topic 171	('genome'", 'reads', 'contigs', 'annotation', 'graminicola', 'scaffolds', 'assembly', 'busco', 'genes'," 'canu')	(0.02047406926354422", 0.018671452743958795, 0.017846710298101438, 0.012541828214021925, 0.011490866558595096,0.009890631,0.00955549,0.008900069,0.008737534, 0.008705423894226176)
"Topic 172	('dispersal'", 'syndromes', 'dispersers', 'experimental', 'evolution', 'bonte', 'cote', 'locomotion', 'clobert'," 'lustenhouwer')	(0.02254575237873484",0.009092737,0.008118188,0.007901841,0.007238635,0.00715863,0.006932553,0.006774512,0.006743027, 0.00617787890025747)
"Topic 173	('farmers'", 'coffee', 'shade', 'shadetreeadvice', 'tree', 'agroforestry', 'lek', 'es', 'rankings'," 'knowledge')	(0.03718046837537955", 0.028239796522093522, 0.027838466591948316,0.027115315, 0.022171243174984652, 0.019225254571915165, 0.019032574231003994, 0.017885975785450495,0.015468635, 0.014507300547377979)
"Topic 174	('elements'", 'zn', 'concentrations', 'cephalopods', 'trace', 'fish', 'cu', 'forage', 'element'," 'essential')	(0.035867159065139806", 0.019750609904819097,0.019055599,0.017450919, 0.016872526020047664,0.015055959, 0.014744537023329585, 0.014269625417957054,0.014137889, 0.013167149787634416)
"Topic 175	('ice'", 'ge', 'light', 'arctic', 'gegeopt', 'frigida', 'cylindrus', 'sympagic', 'neogracilis'," 'diatoms')	(0.028228297354971163",0.026921368,0.025168289,0.020816222, 0.020439980282338434, 0.019694647596276354,0.018414008,0.018338632, 0.017601094132013648, 0.016997669087992082)
"Topic 176	('fid'", 'flocks', 'flock', 'tipperne', 'waders', 'size', 'laursen', 'gregarious', 'mller'," 'vejlerne')	(0.03455532007626351", 0.034485573343356044,0.031786392, 0.013700493543316176,0.01161914, 0.011059976323903617,0.009559044,0.009295409,0.009213138, 0.008789717566465063)
"Topic 177	('grasslands'", 'grassland', 'grazing', 'biopedturbation', 'gillet', 'releves', 'fertilization', 'veg', 'changes'," 'jura')	(0.015546574116615038", 0.012228224219216132,0.006783924,0.006020883,0.00591875,0.005415546,0.005221279,0.004870033,0.004747613, 0.004685797422594931)
"Topic 178	('hornets'", 'hive', 'honey', 'hornet', 'flight', 'bees', 'velutina', 'hovering', 'vespa'," 'curvature')	(0.039795935048707626",0.033365453,0.031671096,0.031343853, 0.028689100962696133,0.027758404, 0.024049750605691884, 0.020250832298541434, 0.015760895389448318, 0.014354424516027081)
"Topic 179	('bulk'", 'rhizosphere', 'soil', 'bacterial', 'fungal', 'elevation', 'rhizospheric', 'compartment', 'abies'," 'myrtillus')	(0.029787276082561428", 0.027903317662805113,0.021624849,0.019470561, 0.014692804810864062, 0.013614119526964107, 0.013328796265620597, 0.013322274604706166, 0.012776230950922101, 0.012568814161668431)
"Topic 180	('mite'", 'destructor', 'mites', 'varroa', 'honey', 'bee', 'colonies', 'treated', 'infesting'," 'gotland')	(0.053431404528794066", 0.033654482057794255, 0.031200765532333558,0.029862501, 0.024131225952555006, 0.018333512632992058, 0.017783503396483494, 0.017249252896197706, 0.015530420192078988, 0.014897898731862667)
"Topic 181	('mineralisation'", 'litter', 'homefield', '18901512631', 'fromin', 'soil', '10231037', 'microbial', 'fanin'," 'decomposers')	(0.02416696265498363",0.02267809, 0.018502398945755446,0.017377195,0.016857369,0.016775227,0.016746071, 0.016691243472439485,0.016461676, 0.01481532564155464)
"Topic 182	('disturbance'", 'disturbances', 'pyramids', 'bodysize', 'sizeabundance', 'jacquet', 'sizestructure', 'intensity', 'log'," 'frequency')	(0.04589042715601075", 0.033583428633267166, 0.028686266518216284, 0.027402977398582058, 0.026968805781924315, 0.026300697664038263, 0.023174661156215918,0.020078799,0.019297832, 0.016818479447947562)
"Topic 183	('salinity'", 'osmoregulation', 'maenas', 'oc', 'salinities', 'charmantier', 'torres', 'tmls', 'osmoregulatory'," 'crab')	(0.04088411976754221",0.035160834, 0.026582091090177895, 0.024588492666082002,0.021866301, 0.017847601155155598, 0.015676458113602184, 0.015179135957529517, 0.014238156502403856, 0.013644452726185214)
"Topic 184	('fragmentation'", 'patches', 'dispersal', 'strategies', 'coloniser', 'propagules', 'tradeoff', 'landscapes', 'competitor'," 'aggregation')	(0.021526826474823596", 0.019701549007269545, 0.018125583973107758, 0.017818311981691357, 0.017271282627867153, 0.015508522072157409, 0.014733632867937269, 0.013548212566751355, 0.013115869409429683, 0.012350571778686696)
"Topic 185	('anomalus'", 'desman', 'iberian', 'igea', 'pyrenean', 'querejeta', 'pyrenaicus', 'peninsula', 'river'," 'semiaquatic')	(0.023376994303403408", 0.022204989280669808, 0.019388333953078585,0.018453291, 0.018057900101322986, 0.015472269249109083,0.013366379, 0.012781890252148044, 0.011973879143028958, 0.01161019493556387)
"Topic 186	('compensation'", 'synchrony', 'waders', 'waterfowl', 'wavelet', 'guilds', 'reserve', 'barraquand', 'calidris'," 'anatini')	(0.0410333885237027", 0.023226140619584505, 0.017368431109995065, 0.016730124001517507, 0.014733383995860539, 0.013174998587344368,0.012927288, 0.011719604725144604, 0.011648464124103117, 0.011304791351377687)
"Topic 187	('radiation'", 'chernobyl', 'contaminated', 'strains', 'mousseau', 'contamination', 'ukraine', 'lychnidisdioicae', 'sporidia'," 'mller')	(0.04842322970826269",0.031054412, 0.024901670990517082, 0.022164828991311596, 0.018145584670061443,0.017126465,0.016142344,0.01597546,0.01500057, 0.014388137570079602)
"Topic 188	('saddle'", 'cycle', 'noise', 'crawlby', 'crawlbys', 'passage', 'cycles', 'x0', 'durations'," 'stochasticity')	(0.04914580681799265", 0.032362046886069126, 0.030731674068684822,0.030024126,0.029539866, 0.020229291552453642, 0.019320752551862313,0.018996773, 0.011860563436206447, 0.01136484672077488)
"Topic 189	('tomato'", 'cucumber', 'maternal', 'fecundity', 'egg', 'females', 'eggs', 'nymphs', 'clutch'," 'acceptance')	(0.016820090099447467", 0.016418001823868787,0.01299489, 0.012295458619509633, 0.011527542249985232,0.011027741, 0.010623890720660702, 0.010170046377174953, 0.010131988963727709, 0.009246996402575591)
"Topic 190	('lynx'", 'vosges', 'jura', 'mountains', 'scr', 'breitenmoser', 'camera', 'lions', 'zimmermann'," 'capturerecapture')	(0.048782597688317345",0.022250616,0.021232494, 0.020270138683114038, 0.011153360533397886, 0.011053734464714636, 0.010677721245260625, 0.010058916969876295,0.009986132, 0.009830574761113703)
"Topic 191	('csd'", 'parasitoid', 'diploid', 'slcsd', 'vortex', 'determination', 'extinction', 'males', 'host'," 'zayed')	(0.04293403740069535",0.040255615,0.034798817,0.032027933, 0.018249351179969488,0.014750568, 0.013243782150510218, 0.012416667395392392, 0.012048279822817334, 0.011159783701913173)
"Topic 192	('bodysize'", 'reef', 'piscivorous', 'shes', 'isolation', 'attib', 'quaternary', 'herbivorous', 'sh'," 'mobility')	(0.03390321277806098", 0.019478757389008883, 0.015915841561589126, 0.014811065584442574,0.012715224,0.009995569,0.008948586,0.008069522,0.007936947, 0.0073846826965953734)
"Topic 193	('sessile'", 'height', 'oak', 'beech', 'growth', 'physophora', 'common', 'stands', 'o1b1'," 'o2b2')	(0.030836437625447192",0.023033877,0.022231846, 0.020006638967774406,0.015689461, 0.011755862348758915,0.00969045,0.009159747,0.008899618, 0.008899617903020619)
"Topic 194	('orchid'", 'omf', 'mycorrhizal', 'orchids', 'epiphytic', 'bark', 'roots', 'orchidaceae', 'petrolli'," 'selosse')	(0.04822673668910098", 0.025842211444079128, 0.025381527236558496, 0.023213074875296707, 0.020210137457605318, 0.018608250172014364, 0.017408517590722893, 0.016588121114360123,0.016211287, 0.01364520205762257)
"Topic 195	('aphid'", 'aphids', 'mpdnv', 'defensa', 'viruliferous', 'infection', 'infected', 'symbionts', 'nonviruliferous'," 'pea')	(0.05260089686318473",0.040520597, 0.028849212207599007, 0.018772028586089697, 0.014766685089704877, 0.014516994832555889, 0.013666704722667598, 0.011554542562293778,0.01098771, 0.0108270980679522)
"Topic 196	('seedling'", 'locallytransient', 'recruitment', 'openness', 'seed', 'transplanted', 'colderclimate', 'warmerclimate', 'subalpine'," 'communities')	(0.0251473527633926", 0.014837805052571871,0.013623338,0.012038861, 0.011369198213795745, 0.010887744146985703, 0.010477560346640654, 0.010411947903416617, 0.010382720545001289, 0.010345512786132792)
"Topic 197	('bryophytes'", 'browsing', 'pressure', 'terricolous', 'vascular', 'ungulate', 'understory', 'herbaceous', 'stand'," 'lightdemanding')	(0.017257126401815162", 0.015276794456123262, 0.014053631535362073, 0.012802149076217913, 0.012616385329041252, 0.012534805707588319, 0.012160078153361963, 0.011727234124963227,0.009803719, 0.009163937518194469)
"Topic 198	('male'", 'success', 'albinotic', 'janicke', 'reproductive', 'mating', 'female', 'snails', 'sex'," 'condition')	(0.029350262864388858", 0.021165998245233263,0.019761711,0.019622174, 0.019268184358614267,0.017369467,0.017227442, 0.014991639695351259, 0.014895053150466527, 0.014219557947908797)
"Topic 199	('plasticity'", 'phenotypic', 'adaptation', 'chevin', 'adaptive', 'genetic', 'confocal', 'populations', 'selection'," 'evolution')	(0.01675675600275063", 0.013862110059682171,0.009797637,0.008278307,0.007230386,0.007110702,0.006686794,0.006643587,0.006329681, 0.006054171832726805)
"Topic 200	('filipiak'", 'pollen', 'sterol', 'na', 'bees', 'bee', 'cunicularius', 'vaga', 'sterols'," 'plumipes')	(0.0313870555397396", 0.025156466896531917,0.023961684, 0.019674671248953245,0.016285892,0.016110522,0.016085157,0.015566244, 0.013304812684265033, 0.01323851793975609)
"Topic 201	('automated'", 'monitoring', 'learning', 'images', 'cameras', '2021', 'machine', 'camera', 'sensing'," 'image')	(0.023724196802778024", 0.014374077744309268, 0.013876933527212464, 0.011655466128844251, 0.010154874363292704, 0.010000384761796691,0.009874555,0.009806445,0.009688305, 0.009063852530469794)
"Topic 202	('reproductives'", 'bodyshaking', 'flavipes', 'termite', 'trophallaxis', 'eggs', 'grassei', 'vibratory', 'descendants'," 'kings')	(0.03836743448770807",0.034637309,0.030709554, 0.026699084931315013,0.02389269, 0.023145020140611962, 0.022045995468073308,0.019743405,0.019397527, 0.018940414513985294)
"Topic 203	('columbian'", 'squirrels', 'dobson', 'murie', 'ground', 'females', 'sex', 'offspring', 'columbianus'," 'weaning')	(0.03924868845172791", 0.038989928347525356, 0.029868962874313974, 0.029740368491360976, 0.027994505303239724, 0.014982660816153646, 0.013940834096825982, 0.013272661540735566, 0.012725975267772053, 0.012698516110472303)
"Topic 204	('bd'", 'tadpoles', 'prevalence', 'zoospores', 'bow', 'amphibian', 'infected', 'infection', 'batrachochytrium'," 'dendrobatidis')	(0.054355380318422734",0.040853041,0.021773437,0.021607256, 0.020499191270594345,0.018194564, 0.017691223922329257,0.016941186, 0.015936594077637325, 0.015936594077637325)
"Topic 205	('breeding'", 'migration', 'latent', 'success', 'brood', 'coes', 'hoopoes', 'timing', 'carryover'," 'weather')	(0.017141303477587744", 0.012044488740367704, 0.011215015271766512, 0.010322649574963106,0.00961606,0.009282318,0.009026831,0.008778053,0.008431647, 0.00827020312256725)
"Topic 206	('snps'", 'oaks', 'stellata', 'hipp', 'hybridization', 'acorns', 'michauxii', 'quercus', 'alba'," 'oak')	(0.0266656114251708",0.024537168, 0.019950216896758723, 0.017408955158661487, 0.016386233727762125, 0.013076012335870938, 0.011805117411562264, 0.011430044141870358,0.011060943, 0.011051519472098002)
"Topic 207	('vaccination'", 'skuas', 'cholera', 'amsterdam', 'pm', 'yellownosed', 'albatrosses', 'albatross', 'antibodies'," 'antibody')	(0.027104152920779993", 0.023517414188464786, 0.021600522788816075,0.021488491, 0.019667379472793962,0.019221584, 0.017017404331786837,0.016077266, 0.015438424692442474, 0.01402402175858039)
"Topic 208	('uav'", 'camera', 'sfm', 'hab', 'images', 'fresh', 'rmser', 'datasets', 'uavs'," 'dry')	(0.03830628171341083", 0.028459049410922244,0.020617344,0.019596076, 0.018095027030289635,0.017167846, 0.014067833707209218, 0.013268806976976813, 0.013241066258897526, 0.0123353479323407)
"Topic 209	('balearic'", 'hake', 'connectivity', 'gulf', 'sr', 'spawning', 'recruitment', 'subpopulations', 'lr'," 'lion')	(0.026205030650313675", 0.023561565543753632, 0.021095302857163125,0.01871232,0.017275513,0.015957189, 0.014947849050971473, 0.014685658972579736, 0.014496970016111107, 0.013568380603868793)
"Topic 210	('xt'", 'equation', 'stochastic', 'traulsen', 'process', 'x0', 'fixation', 'stationary', 'deterministic'," 'infinitesimal')	(0.04267883627018816",0.023622161,0.019445257,0.01739101, 0.017278199563347373, 0.017145539356585155, 0.016353562190244968, 0.015296377556521768, 0.015050692983716488, 0.01420762560610099)
"Topic 211	('allelopathic'", 'compounds', 'phenolic', 'tpc', 'plants', 'hennion', 'gross', 'plant', 'martintanguy'," 'polyamines')	(0.03754040531600187", 0.018998667023229946,0.013898735, 0.012713046164754615, 0.012630906752366888, 0.012498807607237305,0.011272759, 0.011102481589182655,0.010964671, 0.01075979043338889)
"Topic 212	('bn'", 'stoichiometric', 'bioelements', 'stoichiometry', 'sardans', 'taxa', 'traits', 'biogeochemical', 'elementome'," 'penuelas')	(0.022273652423546408",0.021035659, 0.017226121398542522,0.013176373, 0.011870473608848204,0.009854535,0.00903247,0.008978424,0.008693728, 0.008587637651663186)
"Topic 213	('feet'", 'insular', 'webbed', 'eiders', 'ssd', 'rensch', 'rule', 'foot', 'gigantism'," 'body')	(0.03561546771322133",0.028859999,0.028753095, 0.024724107466438862, 0.022263526544891134,0.020584531, 0.019399769402921437, 0.018001996099374883, 0.011942977384414771, 0.011918372659881386)
"Topic 214	('aquaculture'", 'farmed', 'salmon', 'parasite', 'wild', 'disease', 'diseases', 'spillover', 'parasites'," 'wildlife')	(0.0676031644699747", 0.024799810688782453, 0.020105219964622664, 0.019973069225092944,0.019904515,0.017083254, 0.015462197610857962, 0.014474933733825851,0.013629882, 0.01311829902668719)
"Topic 215	('ims'", 'ams', 'guyanasuriname', 'guiana', 'ecuador', 'rank', 'ums', 'migration', 'french'," 'plots')	(0.0359474423160886", 0.030338528793184147,0.024742127,0.023154453, 0.021712499904853116, 0.014854888887852434,0.014814072, 0.014368223436741677, 0.012583922960718951, 0.01214751302191196)
"Topic 216	('dogs'", 'dog', 'canids', 'chile', 'cursorial', 'hunting', 'guanacos', 'prevosti', 'ambush'," 'feral')	(0.04972967567569735",0.029845554,0.027618435,0.027333889, 0.024504411641349096,0.022690467,0.021165863, 0.015095193401252024, 0.014135443404498819, 0.014127898362953868)
"Topic 217	('olive'", 'laperrine', 'embryos', 'saumitoulaprade', 'vernet', 'selfincompatibility', 'besnard', 'olives', 'europaea'," 'billiard')	(0.06246220358617801",0.036562182,0.02542857, 0.021077442884926804, 0.019596715399793498,0.018926191, 0.016945910874919163,0.01684423, 0.016402699019804484, 0.015248947508909429)
"Topic 218	('engagement'", 'mpas', 'mpa', 'california', 'cdfw', 'watch', 'inaturalist', 'human', 'issued'," 'mlpa')	(0.06624219345631097",0.064053814,0.058872651,0.026234118, 0.018411449080609633, 0.017491291052524567, 0.016554244116716896, 0.016321065359044214, 0.014235033937025772, 0.01265498947421587)
"Topic 219	('vulnerability'", 'poaching', 'generic', 'fishers', 'capacity', 'unions', 'adaptive', 'markets', 'stressor'," 'gelcich')	(0.031173985407528266",0.029049046, 0.025802493141037622,0.023856326, 0.023788992320238872,0.023718165, 0.022860560884960364, 0.022217885962836453, 0.019911055214415396, 0.0196359421063709)
"Topic 220	('hypervolumes'", 'pmc', 'pfg', 'hypervolume', 'bef', 'postperturbation', 'funders', 'manuscripts', 'landuse'," 'author')	(0.036118000024085994", 0.020906784683549024, 0.020295689850765013, 0.018260333915312232,0.017519367, 0.014809751911654548, 0.014776308870625457, 0.014441703451231785,0.012387582, 0.012288049070064814)
"Topic 221	('gypsy'", 'moth', 'manuscrit', 'auteur', 'liebhold', 'bjrnstad', 'subharmonics', 'author', '1018900812461'," '106118')	(0.05954423862150681",0.050805725,0.036180321,0.035871572, 0.027086926760065574, 0.026565528596370746, 0.025919466942016026, 0.024028692327068477,0.02196153, 0.02185842519875773)
"Topic 222	('orchids'", 'pollination', 'orchid', 'orchidpollinator', 'pollinators', 'deceptive', 'euromediterranean', 'niches', 'orchides'," 'dpn')	(0.04809619376042487", 0.033999356719515206,0.026783512,0.021176677, 0.015348990870624494, 0.014415115382688781, 0.014218269771416487, 0.014162889713160976, 0.012550690442321575, 0.0124407517008143)
"Topic 223	('darkness'", 'nymphal', 'larval', 'va', 'thorax', 'pigmentation', 'traits', 'adult', 'extramolting'," 'phenotypic')	(0.02013530058413241",0.018819384, 0.014064171260595632,0.013792513, 0.012528282947305503, 0.012230140488130134, 0.011753193417976395, 0.011648204263773014, 0.010643505770184875, 0.00984795749851787)
"Topic 224	('flowering'", 'selfing', 'mlgs', 'vernalization', 'mating', 'mlg', '1987', 'truncatula', 'outcrossing'," 'gay')	(0.023029061200616992", 0.021083168860411384,0.016791433,0.014795447,0.013247495, 0.011048682108948804,0.009122865,0.008633944,0.007982069, 0.007818315019905807)
"Topic 225	('lakes'", 'macrophyte', 'macrophytes', 'metacommunities', 'lake', 'pure', 'alahuhta', 'variables', 'acrossregion'," 'convex')	(0.020669283497642046", 0.020210401754616535, 0.019177390837594146, 0.013326282632013511, 0.013126008895359573,0.012544393, 0.012276034901156137, 0.010849464329451563, 0.010013169203152275, 0.009934435493465713)
"Topic 226	('tannin'", 'tannins', 'recalcitrant', 'confidential', 'copy', 'symbiotic', 'absorption', 'labile', 'psf'," 'mycorrhizae')	(0.046537750073594925",0.038801055, 0.031130908225931803, 0.022180018392977688, 0.020466875092054648,0.019542888,0.017639335, 0.015899469934431167, 0.011854056253575307, 0.011824818435767794)
"Topic 227	('exotic'", 'native', 'bird', 'mascarene', 'runion', 'reunion', 'birds', 'madagascan', 'barnagaud'," 'ecol')	(0.017360788387853005", 0.012302419769638792, 0.011010354001905372,0.009005278,0.006961281,0.006761274,0.006753439,0.006684327,0.005925639, 0.005870680280566344)
"Topic 228	('aicc'", 'akaike', 'models', 'model', 'burnham', 'aic', 'best', 'variables', 'package'," 'sst')	(0.012397056750494566",0.009874385,0.009297606,0.008473157,0.007333134,0.007071867,0.006398407,0.005987604,0.005983644, 0.0058854125761798924)
"Topic 229	('pseudospecies'", 'niches', 'niche', 'beaugrand', 'lbgs', 'terrestrial', 'realm', 'pseudobiodiversity', 'precipitation'," 'speciation')	(0.03497185789072316",0.02067261, 0.019068971247977837, 0.015736617006640786, 0.015291845978233824, 0.012863043271598686,0.012537273, 0.012030645520241693, 0.011780278363818699, 0.011730372475703214)
"Topic 230	('patch'", 'asymmetry', 'perturbed', 'prey', 'strenght', 'biomass', 'cv', 'perturbations', 'quvreux'," 'metacommunity')	(0.055949298421402366", 0.050013235240307666, 0.031099211265004464, 0.029408731877509232,0.027043091, 0.026883465673061532, 0.024290382617451988, 0.023920565303246783, 0.022517489830859137, 0.01978438258515137)
"Topic 231	('conr'", 'eoo', 'iucn', 'assessments', 'aoo', 'taxon', 'preliminary', 'criterion', 'list'," 'locations')	(0.03252410153510472", 0.021063617861860878,0.019131217, 0.015430522414091988, 0.012931609524857004, 0.012047865785606737,0.009348715,0.008623246,0.008024107, 0.007918945587102034)
"Topic 232	('growth'", 'month', 'senegalus', 'photoperiod', 'castaneus', 'occidentalis', 'sgrl', 'sgrw', 'rate'," 'months')	(0.019839468397309424", 0.019285254353345268, 0.018677871832139478, 0.015456828139614328, 0.014292385332143996, 0.012528695326178337, 0.012170310921534644, 0.012170310921534644, 0.011238017256646485, 0.011180304111584431)
"Topic 233	('inner'", 'reef', 'pol01', 'reu03', '072007', 'chaetodon', 'hermitage', '032006', 'polynesia'," 'reunion')	(0.05076324461099824", 0.041469812578913655,0.034555779,0.034352099,0.033568869, 0.033343573520089355,0.031022168, 0.029361432078953725, 0.027608279174243383, 0.027080047541719297)
"Topic 234	('crop'", 'seminatural', 'arthropods', 'landscape', 'landscapes', 'services', 'arable', 'carabids', 'edge'," 'pests')	(0.022368888072514442", 0.021210513231278323,0.019660789, 0.017190560438221522, 0.017158587839644485,0.01303744, 0.012484983000174964, 0.012162818729569789, 0.011895631364168942, 0.011800793466583397)
"Topic 235	('allochthonous'", 'bromeliad', 'bromeliads', 'autochthonous', 'webs', 'closed', 'puerto', 'food', 'guiana'," 'aquatic')	(0.033944243079180585", 0.025246656611191996,0.023744115,0.018860431, 0.017077237498686944,0.015310418, 0.013630243904428197, 0.012960636757578983, 0.011481712769656191, 0.011413223095970045)
"Topic 236	('elephants'", 'elephant', 'village', 'owners', 'ses', 'laos', 'mahouts', 'maurer', 'tourism'," 'wild')	(0.05736182675217376", 0.042241436196213365,0.032547345,0.020220653,0.016382684, 0.015133430778935558, 0.014666850828468064, 0.014211889395414328, 0.013273198811343267, 0.013126467492294201)
"Topic 237	('stems'", 'herbivory', 'stem', 'sectional', 'tuber', 'cross', 'canopy', 'growth', 'praehensilis'," 'intact')	(0.05616154867929377",0.041869883,0.032884779,0.028176194,0.021827763, 0.018130676754914175, 0.017876961970387618,0.017813652, 0.017612761034783906, 0.01690326767182327)
"Topic 238	('selonen'", 'wistbacka', 'flying', 'lifetime', 'lrs', 'hoset', 'squirrels', 'pulsed', 'forestdwelling'," '1011111365265612715')	(0.03916575878284256",0.032179434, 0.029382671816180258, 0.028769601502653258, 0.026770379596217662, 0.022052724604991848, 0.022016150069322185, 0.020999886475767508, 0.020579841368672278, 0.020574715396255876)
"Topic 239	('cats'", 'cat', 'personality', 'owners', 'domestic', 'home', 'neuroticism', 'agreeableness', 'pet'," 'extraversion')	(0.07851604011978121",0.043196408, 0.039458504195161365,0.023838964,0.018346093, 0.015921744434271586, 0.014343406012316862, 0.014343406012316862,0.013881452, 0.013655058206157502)
"Topic 240	('litter'", 'shoot', '1011111365274512665', 'akpavinceslas', 'decans', 'margerie', 'ecmcolonized', 'ectomycorrhizal', '539'," 'boudsocq')	(0.029496912802258295", 0.021557543154994363, 0.020485005513007453, 0.019525976466469325, 0.019142564005758783, 0.018983272548102982,0.018562397, 0.018540333406252434, 0.018539728347137234, 0.018377105579917157)
"Topic 241	('mellifera'", 'queens', 'roh', 'honey', 'froh', 'mel', 'apis', 'homozygosity', 'car'," 'csch')	(0.033479755233860715", 0.030914588074232526,0.023531027,0.022906568,0.021460908, 0.021454759774969506,0.020938978, 0.016341179113267525,0.015089547, 0.011851324494724839)
"Topic 242	('missing'", 'imputation', 'subdatabase', 'mrdae', 'method', 'functional', 'databases', 'trait', 'dissimilarity'," 'indices')	(0.053891440776205966", 0.046088533258734216,0.023391658,0.018854596, 0.018403997507013752, 0.016100493214534058, 0.015209902282708814,0.015083926, 0.014203413849341177, 0.014037671309305635)
"Topic 243	('snps'", 'loci', 'rad', 'paralogous', 'snp', 'paralogy', 'coverage', 'massarray', 'genotyping'," 'depth')	(0.03789659983740926", 0.024172989943116983, 0.023242819763904892,0.02075149,0.020668309, 0.015657511647349045, 0.014461505220133985, 0.011100925477751697,0.009880044, 0.009621275139159691)
"Topic 244	('snow'", 'lemming', 'lemmings', 'domine', 'hoar', 'snowpack', 'winter', 'arctic', 'depth'," 'layer')	(0.05363398056546727",0.036261322,0.033555294, 0.022483586489243156,0.021289996, 0.018744948094632116, 0.016791985453786965, 0.014318311017219778,0.013340233, 0.012137928225722038)
"Topic 245	('heritage'", 'value', 'cultural', 'kenter', 'valued', 'values', 'living', 'transcendental', 'instrumental'," 'frames')	(0.10523669357566912", 0.022988809996030455,0.020746295, 0.018285983803267257,0.018042168,0.017699486, 0.017385741775836572, 0.014488572551413335,0.014344962, 0.014040753958352418)
"Topic 246	('fire'", 'root', 'absorptive', 'fires', 'savannas', 'biomass', 'soil', 'ground', 'roots'," 'srl')	(0.0460185391550028", 0.023237769677195236,0.021961494, 0.021135745542355464,0.01655763, 0.015900874624907548, 0.015076380154068649, 0.014395091166095275, 0.014127077763861733, 0.012402634995492611)
